"Month","Sales"
"2018-01",266.0
"2018-02",145.9
"2018-03",183.1
"2018-04",119.3
"2018-05",180.3
"2018-06",168.5
"2018-07",231.8
"2018-08",224.5
"2018-09",192.8
"2018-10",122.9
"2018-11",336.5
"2018-12",185.9
"2019-01",194.3
"2019-02",149.5
"2019-03",210.1
"2019-04",273.3
"2019-05",191.4
"2019-06",287.0
"2019-07",226.0
"2019-08",303.6
"2019-09",289.9
"2019-10",421.6
"2019-11",264.5
"2019-12",342.3
"2020-01",339.7
"2020-02",440.4
"2020-03",315.9
"2020-04",439.3
"2020-05",401.3
"2020-06",437.4
"2020-07",575.5
"2020-08",407.6
"2020-09",682.0
"2020-10",475.3
"2020-11",581.3
"2020-12",646.9
